student_id,subject_id,teacher_id,exam_1,exam_2,exam_3,attendance,final_score,date
STU_119cd39c,SUB_HIS_105,TCH_7602e517,55.22,63.58,60.48,10,59.76,2025-01-05
STU_119cd39c,SUB_PHY_117,TCH_2b2625e5,50.37,72.29,78.22,8,66.96,2025-10-03
STU_119cd39c,SUB_CHE_148,TCH_82b5b2da,77.23,97.05,56.67,5,76.98,2025-11-14
STU_63765698,SUB_COM_142,TCH_2b2625e5,98.0,56.27,97.14,9,83.8,2025-03-15
STU_63765698,SUB_HIS_105,TCH_59cac908,69.44,66.32,91.23,9,75.66,2025-03-16
STU_63765698,SUB_BIO_910,TCH_be7faa8a,58.52,54.37,76.97,8,63.29,2025-06-27
STU_7f32749c,SUB_PHY_117,TCH_b0dd4864,80.62,51.2,67.52,7,66.45,2025-06-22
STU_7f32749c,SUB_HIS_105,TCH_2b2625e5,66.19,63.23,60.82,8,63.41,2025-09-26
STU_7f32749c,SUB_BIO_910,TCH_7602e517,81.93,73.24,60.9,8,72.02,2025-08-26
STU_7f32749c,SUB_CHE_148,TCH_b0dd4864,55.56,74.85,95.17,9,75.19,2025-10-20
STU_cd3e618b,SUB_ENG_307,TCH_7602e517,84.31,52.65,51.56,9,62.84,2025-04-03
STU_cd3e618b,SUB_ART_886,TCH_be7faa8a,59.62,82.56,77.24,9,73.14,2025-05-24
STU_cd3e618b,SUB_PHY_117,TCH_fc41ed5e,99.54,92.96,63.17,9,85.22,2025-08-29
STU_cd3e618b,SUB_COM_142,TCH_be7faa8a,56.53,83.16,65.29,10,68.33,2025-02-12
STU_cd3e618b,SUB_CHE_148,TCH_29eb2101,55.98,95.25,99.0,6,83.41,2025-01-29
STU_7a96eb7d,SUB_HIS_105,TCH_be7faa8a,83.5,87.33,98.19,10,89.67,2025-05-06
STU_7a96eb7d,SUB_COM_142,TCH_b9608476,72.12,53.64,94.28,9,73.35,2025-09-16
STU_7a96eb7d,SUB_PHY_117,TCH_b0dd4864,94.73,63.56,97.46,8,85.25,2025-03-08
STU_7a96eb7d,SUB_ART_886,TCH_be7faa8a,77.19,71.34,83.42,9,77.32,2025-03-22
STU_7a96eb7d,SUB_BIO_910,TCH_29eb2101,52.54,56.38,97.93,10,68.95,2025-10-09
STU_d28792c1,SUB_ART_886,TCH_b9608476,51.57,85.5,91.55,6,76.21,2025-11-14
STU_d28792c1,SUB_BIO_910,TCH_be7faa8a,78.3,77.09,94.43,7,83.27,2025-05-01
STU_d28792c1,SUB_MAT_392,TCH_be7faa8a,82.19,85.69,80.76,9,82.88,2025-07-31
STU_b137af76,SUB_PHY_117,TCH_29eb2101,79.04,66.19,92.68,8,79.3,2025-06-06
STU_b137af76,SUB_HIS_105,TCH_61765dbd,70.87,96.37,82.01,9,83.08,2025-03-26
STU_b137af76,SUB_BIO_910,TCH_2b2625e5,97.25,82.49,52.59,8,77.44,2025-05-28
STU_b137af76,SUB_MAT_392,TCH_b9608476,84.77,72.71,81.78,9,79.75,2025-06-10
STU_b137af76,SUB_ENG_307,TCH_59cac908,80.92,54.19,54.54,8,63.22,2025-01-29
STU_f8452275,SUB_BIO_910,TCH_2b2625e5,84.86,99.07,54.53,7,79.49,2025-01-05
STU_f8452275,SUB_MAT_392,TCH_61765dbd,50.52,79.85,50.05,8,60.14,2025-06-02
STU_f8452275,SUB_COM_142,TCH_61765dbd,72.71,89.88,56.78,9,73.12,2025-05-16
STU_f8452275,SUB_ART_886,TCH_7602e517,71.19,67.28,92.05,10,76.84,2025-01-12
STU_10bc7e68,SUB_CHE_148,TCH_29eb2101,51.71,54.05,96.85,8,67.54,2025-11-03
STU_10bc7e68,SUB_HIS_105,TCH_29eb2101,91.91,79.62,68.84,8,80.12,2025-06-01
STU_10bc7e68,SUB_MAT_392,TCH_b0dd4864,50.27,51.05,53.83,8,51.72,2025-05-13
STU_10bc7e68,SUB_ENG_307,TCH_29eb2101,96.07,70.59,62.41,7,76.36,2025-09-18
STU_eed21830,SUB_PHY_117,TCH_2b2625e5,92.31,87.56,80.63,6,86.83,2025-02-15
STU_eed21830,SUB_HIS_105,TCH_59cac908,99.32,95.81,59.06,7,84.73,2025-02-20
STU_eed21830,SUB_MAT_392,TCH_59cac908,52.65,64.53,74.14,8,63.77,2025-02-01
STU_eed21830,SUB_CHE_148,TCH_82b5b2da,88.39,97.69,68.53,10,84.87,2025-10-17
STU_ba1138ed,SUB_MAT_392,TCH_29eb2101,95.29,65.62,66.94,8,75.95,2025-06-26
STU_ba1138ed,SUB_CHE_148,TCH_29eb2101,64.55,53.76,64.13,10,60.81,2025-11-05
STU_ba1138ed,SUB_PHY_117,TCH_b0dd4864,70.4,87.44,87.52,10,81.79,2025-05-20
STU_ba1138ed,SUB_HIS_105,TCH_82b5b2da,53.83,72.78,72.23,9,66.28,2025-11-20
STU_0f0184f8,SUB_MAT_392,TCH_29eb2101,71.0,74.18,85.87,9,77.02,2025-09-03
STU_0f0184f8,SUB_ART_886,TCH_be7faa8a,81.78,50.77,57.76,7,63.44,2025-10-10
STU_0f0184f8,SUB_COM_142,TCH_7602e517,52.49,70.47,92.85,6,71.94,2025-04-14
STU_0f0184f8,SUB_CHE_148,TCH_b9608476,65.43,81.35,95.97,9,80.92,2025-02-03
STU_0f0184f8,SUB_HIS_105,TCH_29eb2101,99.69,73.86,88.06,8,87.2,2025-10-31
STU_5b019d57,SUB_ART_886,TCH_82b5b2da,99.71,56.12,60.53,8,72.12,2025-02-12
STU_5b019d57,SUB_BIO_910,TCH_fc41ed5e,62.58,57.39,58.62,7,59.53,2025-06-12
STU_5b019d57,SUB_ENG_307,TCH_b0dd4864,61.57,52.47,62.72,9,58.92,2025-01-22
STU_3ca3c3c5,SUB_ART_886,TCH_fc41ed5e,84.51,78.06,84.44,7,82.34,2025-10-31
STU_3ca3c3c5,SUB_MAT_392,TCH_2b2625e5,96.37,89.38,78.78,9,88.18,2025-04-20
STU_3ca3c3c5,SUB_BIO_910,TCH_59cac908,60.92,66.76,51.89,9,59.86,2025-09-28
STU_3ca3c3c5,SUB_ENG_307,TCH_b0dd4864,81.77,74.32,97.19,10,84.43,2025-01-08
STU_3ca3c3c5,SUB_COM_142,TCH_b0dd4864,71.18,76.37,61.45,7,69.67,2025-06-18
STU_1a957a73,SUB_PHY_117,TCH_59cac908,84.25,69.67,57.35,7,70.42,2025-09-24
STU_1a957a73,SUB_HIS_105,TCH_29eb2101,65.28,93.36,79.18,8,79.27,2025-09-04
STU_1a957a73,SUB_BIO_910,TCH_61765dbd,71.51,93.69,61.47,8,75.56,2025-05-27
STU_dfe31358,SUB_ENG_307,TCH_2b2625e5,87.53,99.65,68.39,10,85.19,2025-03-30
STU_dfe31358,SUB_MAT_392,TCH_b9608476,66.08,86.23,94.06,10,82.12,2025-07-23
STU_dfe31358,SUB_CHE_148,TCH_61765dbd,77.18,71.63,93.44,8,80.75,2025-02-25
STU_b3b2cdb6,SUB_COM_142,TCH_82b5b2da,69.54,50.75,94.0,9,71.43,2025-04-05
STU_b3b2cdb6,SUB_MAT_392,TCH_b9608476,67.89,60.04,55.86,10,61.26,2025-02-14
STU_b3b2cdb6,SUB_HIS_105,TCH_fc41ed5e,81.45,59.34,72.04,9,70.94,2025-07-04
STU_a0c8975e,SUB_BIO_910,TCH_7602e517,71.17,67.1,50.59,8,62.95,2025-03-11
STU_a0c8975e,SUB_ART_886,TCH_2b2625e5,90.45,67.43,77.38,10,78.42,2025-05-09
STU_a0c8975e,SUB_PHY_117,TCH_b9608476,54.67,67.84,52.85,9,58.45,2025-05-16
STU_2077f8fd,SUB_PHY_117,TCH_b9608476,50.78,55.08,84.54,10,63.47,2025-05-03
STU_2077f8fd,SUB_BIO_910,TCH_59cac908,95.75,83.77,82.79,10,87.44,2025-04-06
STU_2077f8fd,SUB_HIS_105,TCH_be7faa8a,84.04,94.45,71.19,7,83.23,2025-04-19
STU_2077f8fd,SUB_ART_886,TCH_be7faa8a,73.83,51.4,81.47,9,68.9,2025-02-07
STU_2077f8fd,SUB_ENG_307,TCH_7602e517,99.54,78.12,65.56,9,81.07,2025-03-29
STU_18db45e5,SUB_CHE_148,TCH_29eb2101,60.75,54.83,82.74,9,66.11,2025-07-02
STU_18db45e5,SUB_HIS_105,TCH_61765dbd,91.09,62.16,92.23,8,81.83,2025-08-14
STU_18db45e5,SUB_MAT_392,TCH_29eb2101,74.55,68.62,96.26,9,79.81,2025-09-17
STU_18db45e5,SUB_ENG_307,TCH_7602e517,99.1,99.6,72.56,10,90.42,2025-11-02
STU_18db45e5,SUB_ART_886,TCH_61765dbd,98.05,96.07,63.19,10,85.77,2025-09-13
STU_93fa254a,SUB_COM_142,TCH_fc41ed5e,62.62,84.05,78.24,8,74.97,2025-01-18
STU_93fa254a,SUB_ART_886,TCH_fc41ed5e,64.68,60.02,56.76,7,60.49,2025-09-12
STU_93fa254a,SUB_MAT_392,TCH_82b5b2da,63.78,73.53,62.99,10,66.77,2025-03-03
STU_21ff12f9,SUB_ENG_307,TCH_b0dd4864,61.83,76.03,99.96,10,79.27,2025-11-22
STU_21ff12f9,SUB_PHY_117,TCH_7602e517,99.57,72.87,86.31,9,86.25,2025-02-08
STU_21ff12f9,SUB_ART_886,TCH_b0dd4864,62.45,82.72,71.63,10,72.27,2025-08-20
STU_21ff12f9,SUB_BIO_910,TCH_b0dd4864,78.32,90.55,54.11,9,74.33,2025-02-22
STU_21ff12f9,SUB_HIS_105,TCH_29eb2101,89.94,56.8,73.14,9,73.29,2025-01-19
STU_e861800c,SUB_HIS_105,TCH_be7faa8a,80.59,76.15,68.05,8,74.93,2025-10-31
STU_e861800c,SUB_COM_142,TCH_82b5b2da,63.77,52.4,83.47,8,66.55,2025-02-09
STU_e861800c,SUB_MAT_392,TCH_b0dd4864,75.68,82.95,74.59,9,77.74,2025-04-08
STU_e861800c,SUB_PHY_117,TCH_61765dbd,90.9,70.53,69.46,8,76.96,2025-09-16
STU_146bb90d,SUB_CHE_148,TCH_fc41ed5e,91.15,83.97,86.31,8,87.14,2025-06-18
STU_146bb90d,SUB_HIS_105,TCH_59cac908,59.05,84.05,93.24,8,78.78,2025-04-08
STU_146bb90d,SUB_MAT_392,TCH_be7faa8a,63.18,59.03,88.68,6,70.3,2025-01-11
STU_146bb90d,SUB_PHY_117,TCH_2b2625e5,90.1,58.72,80.45,10,76.42,2025-03-07
STU_c3fd1650,SUB_CHE_148,TCH_fc41ed5e,50.73,76.83,54.07,9,60.54,2025-11-13
STU_c3fd1650,SUB_ENG_307,TCH_b0dd4864,94.61,77.47,93.68,8,88.59,2025-01-28
STU_c3fd1650,SUB_ART_886,TCH_b0dd4864,62.14,96.92,66.08,7,75.05,2025-11-16
STU_bdfd0764,SUB_HIS_105,TCH_82b5b2da,91.3,72.64,58.09,10,74.01,2025-04-15
STU_bdfd0764,SUB_COM_142,TCH_61765dbd,73.05,86.45,87.28,8,82.26,2025-06-30
STU_bdfd0764,SUB_MAT_392,TCH_7602e517,74.17,56.18,83.57,9,71.31,2025-11-02
STU_16baf0d6,SUB_MAT_392,TCH_2b2625e5,93.99,97.76,54.39,6,82.05,2025-01-04
STU_16baf0d6,SUB_CHE_148,TCH_7602e517,96.31,55.4,78.8,10,76.84,2025-09-24
STU_16baf0d6,SUB_ENG_307,TCH_29eb2101,63.89,70.38,82.02,8,72.1,2025-06-29
STU_16baf0d6,SUB_ART_886,TCH_b9608476,89.77,54.9,68.0,7,70.89,2025-05-18
STU_9826727f,SUB_ART_886,TCH_7602e517,52.26,73.59,61.82,6,62.56,2025-08-05
STU_9826727f,SUB_HIS_105,TCH_59cac908,83.02,53.98,78.04,8,71.68,2025-03-02
STU_9826727f,SUB_BIO_910,TCH_fc41ed5e,62.73,84.24,76.8,7,74.59,2025-09-19
STU_b3f36626,SUB_COM_142,TCH_82b5b2da,96.72,73.42,52.73,7,74.29,2025-04-28
STU_b3f36626,SUB_HIS_105,TCH_61765dbd,89.48,63.15,66.29,10,72.97,2025-05-09
STU_b3f36626,SUB_PHY_117,TCH_2b2625e5,66.36,67.71,52.39,7,62.15,2025-04-21
STU_b3f36626,SUB_ENG_307,TCH_be7faa8a,75.38,75.48,51.37,9,67.41,2025-02-19
STU_bc45865e,SUB_BIO_910,TCH_b0dd4864,92.27,84.04,63.5,6,79.94,2025-03-26
STU_bc45865e,SUB_HIS_105,TCH_82b5b2da,79.19,69.47,95.06,9,81.24,2025-01-18
STU_bc45865e,SUB_CHE_148,TCH_2b2625e5,99.33,63.48,99.81,8,87.54,2025-03-17
STU_bc45865e,SUB_PHY_117,TCH_be7faa8a,84.33,70.74,67.29,9,74.12,2025-05-06
STU_4462cd05,SUB_PHY_117,TCH_b9608476,93.26,84.37,52.09,7,76.57,2025-05-21
STU_4462cd05,SUB_ART_886,TCH_82b5b2da,74.76,68.83,55.14,8,66.24,2025-07-27
STU_4462cd05,SUB_CHE_148,TCH_29eb2101,76.37,82.96,64.62,7,74.65,2025-05-22
STU_4462cd05,SUB_COM_142,TCH_29eb2101,76.01,63.58,55.02,9,64.87,2025-03-23
STU_4462cd05,SUB_HIS_105,TCH_82b5b2da,52.69,91.81,94.45,10,79.65,2025-07-11
STU_5b9c9402,SUB_MAT_392,TCH_2b2625e5,93.43,95.37,70.95,6,86.58,2025-07-21
STU_5b9c9402,SUB_ENG_307,TCH_b9608476,86.47,81.76,75.14,7,81.12,2025-04-18
STU_5b9c9402,SUB_COM_142,TCH_82b5b2da,92.73,61.78,60.63,9,71.71,2025-06-03
STU_5b9c9402,SUB_CHE_148,TCH_fc41ed5e,62.94,85.45,85.66,7,78.02,2025-01-21
STU_905fe254,SUB_BIO_910,TCH_be7faa8a,65.02,90.25,61.96,8,72.41,2025-02-28
STU_905fe254,SUB_MAT_392,TCH_29eb2101,51.05,58.54,60.9,5,56.83,2025-09-07
STU_905fe254,SUB_HIS_105,TCH_fc41ed5e,72.98,52.48,76.93,8,67.46,2025-03-18
STU_ba8b43c8,SUB_ENG_307,TCH_59cac908,53.04,93.91,85.57,7,77.51,2025-09-28
STU_ba8b43c8,SUB_HIS_105,TCH_82b5b2da,55.92,71.37,51.49,9,59.59,2025-10-27
STU_ba8b43c8,SUB_ART_886,TCH_7602e517,93.65,82.35,95.78,9,90.59,2025-02-21
STU_0fc104a2,SUB_BIO_910,TCH_b9608476,75.45,87.05,98.36,8,86.95,2025-07-18
STU_0fc104a2,SUB_HIS_105,TCH_b0dd4864,71.47,85.01,89.51,10,82.0,2025-08-21
STU_0fc104a2,SUB_CHE_148,TCH_2b2625e5,62.86,56.26,99.48,7,72.87,2025-05-05
STU_26a161ce,SUB_ART_886,TCH_7602e517,69.67,61.0,78.76,8,69.81,2025-02-23
STU_26a161ce,SUB_CHE_148,TCH_b9608476,86.76,80.54,89.02,8,85.44,2025-10-24
STU_26a161ce,SUB_MAT_392,TCH_b0dd4864,81.83,55.32,76.21,8,71.12,2025-09-04
STU_26a161ce,SUB_COM_142,TCH_29eb2101,65.14,57.13,51.92,9,58.06,2025-08-26
STU_8bae4ebe,SUB_ENG_307,TCH_b9608476,66.41,78.29,62.26,9,68.99,2025-03-12
STU_8bae4ebe,SUB_PHY_117,TCH_7602e517,91.24,66.32,58.11,9,71.89,2025-05-08
STU_8bae4ebe,SUB_MAT_392,TCH_b0dd4864,61.93,75.71,56.8,8,64.81,2025-10-12
STU_a03bb0f0,SUB_PHY_117,TCH_be7faa8a,76.13,79.66,71.87,7,75.89,2025-10-19
STU_a03bb0f0,SUB_CHE_148,TCH_61765dbd,65.02,78.72,71.19,7,71.64,2025-09-24
STU_a03bb0f0,SUB_ART_886,TCH_fc41ed5e,86.31,62.63,73.93,4,74.29,2025-06-28
STU_a03bb0f0,SUB_BIO_910,TCH_29eb2101,66.48,52.1,80.48,9,66.35,2025-04-18
STU_a03bb0f0,SUB_HIS_105,TCH_b9608476,90.84,75.97,84.43,9,83.75,2025-07-24
STU_7902aa81,SUB_ART_886,TCH_b9608476,77.92,94.67,68.11,7,80.23,2025-03-10
STU_7902aa81,SUB_BIO_910,TCH_61765dbd,69.84,53.06,97.21,7,73.37,2025-03-13
STU_7902aa81,SUB_HIS_105,TCH_82b5b2da,79.51,98.98,83.04,9,87.18,2025-08-01
STU_b7b63c72,SUB_ENG_307,TCH_b9608476,78.84,58.1,96.19,8,77.71,2025-05-15
STU_b7b63c72,SUB_MAT_392,TCH_61765dbd,51.03,80.08,73.7,8,68.27,2025-08-13
STU_b7b63c72,SUB_ART_886,TCH_b9608476,91.53,57.38,51.0,9,66.64,2025-09-27
STU_b7b63c72,SUB_CHE_148,TCH_2b2625e5,60.66,67.86,54.61,6,61.04,2025-10-12
STU_b7b63c72,SUB_HIS_105,TCH_82b5b2da,56.25,80.48,86.08,10,74.27,2025-07-10
STU_661e3837,SUB_PHY_117,TCH_b0dd4864,65.61,67.14,60.67,10,64.47,2025-04-24
STU_661e3837,SUB_ART_886,TCH_59cac908,65.73,84.09,51.66,9,67.16,2025-07-26
STU_661e3837,SUB_MAT_392,TCH_61765dbd,71.3,93.97,52.96,8,72.74,2025-01-22
STU_661e3837,SUB_HIS_105,TCH_b9608476,53.83,69.51,67.12,6,63.49,2025-03-25
STU_8eaea096,SUB_COM_142,TCH_61765dbd,59.91,56.8,99.46,6,72.06,2025-03-31
STU_8eaea096,SUB_ENG_307,TCH_b9608476,78.82,99.37,61.53,6,79.91,2025-07-12
STU_8eaea096,SUB_MAT_392,TCH_be7faa8a,88.75,54.12,59.1,8,67.32,2025-10-27
STU_5f7a1d59,SUB_HIS_105,TCH_61765dbd,54.95,77.54,97.93,6,76.81,2025-11-04
STU_5f7a1d59,SUB_COM_142,TCH_fc41ed5e,91.86,96.17,61.71,7,83.25,2025-04-29
STU_5f7a1d59,SUB_ENG_307,TCH_29eb2101,64.56,67.98,71.05,8,67.86,2025-01-12
STU_5f7a1d59,SUB_BIO_910,TCH_be7faa8a,99.15,82.83,57.88,7,79.95,2025-08-21
STU_5f7a1d59,SUB_ART_886,TCH_b0dd4864,84.96,54.39,77.66,8,72.34,2025-09-13
STU_4fbc1d6e,SUB_CHE_148,TCH_61765dbd,80.14,81.56,50.49,8,70.73,2025-08-20
STU_4fbc1d6e,SUB_PHY_117,TCH_82b5b2da,90.01,61.66,75.45,8,75.71,2025-07-18
STU_4fbc1d6e,SUB_MAT_392,TCH_29eb2101,98.29,75.5,95.49,8,89.76,2025-09-15
STU_4fbc1d6e,SUB_HIS_105,TCH_61765dbd,74.74,61.62,62.38,9,66.25,2025-09-06
STU_4fbc1d6e,SUB_COM_142,TCH_2b2625e5,87.54,73.51,93.32,7,84.79,2025-02-02
STU_b042bc05,SUB_PHY_117,TCH_82b5b2da,74.87,92.47,78.11,9,81.82,2025-05-16
STU_b042bc05,SUB_CHE_148,TCH_82b5b2da,95.58,93.97,89.43,7,92.99,2025-07-12
STU_b042bc05,SUB_ENG_307,TCH_b9608476,59.02,99.43,54.37,7,70.94,2025-03-23
STU_2db70509,SUB_MAT_392,TCH_be7faa8a,95.0,70.97,71.48,8,79.15,2025-07-11
STU_2db70509,SUB_ART_886,TCH_82b5b2da,74.52,62.71,89.5,7,75.58,2025-06-20
STU_2db70509,SUB_HIS_105,TCH_61765dbd,77.27,55.08,86.99,7,73.11,2025-02-24
STU_2db70509,SUB_CHE_148,TCH_82b5b2da,86.23,59.29,98.31,10,81.28,2025-10-30
STU_2db70509,SUB_ENG_307,TCH_be7faa8a,97.11,83.18,66.49,7,82.26,2025-02-06
STU_ad782e0d,SUB_COM_142,TCH_59cac908,86.73,69.95,66.36,10,74.35,2025-01-08
STU_ad782e0d,SUB_CHE_148,TCH_59cac908,76.2,50.64,96.31,9,74.38,2025-06-12
STU_ad782e0d,SUB_HIS_105,TCH_82b5b2da,52.12,96.6,68.47,9,72.4,2025-02-26
STU_0678aba3,SUB_BIO_910,TCH_fc41ed5e,84.57,92.66,59.11,8,78.78,2025-11-18
STU_0678aba3,SUB_PHY_117,TCH_b0dd4864,95.16,63.9,61.45,8,73.5,2025-03-31
STU_0678aba3,SUB_MAT_392,TCH_fc41ed5e,94.39,67.38,69.64,10,77.14,2025-07-01
STU_e9455ca2,SUB_ART_886,TCH_b0dd4864,91.34,91.3,72.04,7,84.89,2025-01-30
STU_e9455ca2,SUB_HIS_105,TCH_2b2625e5,94.32,75.36,50.15,7,73.28,2025-09-09
STU_e9455ca2,SUB_MAT_392,TCH_59cac908,57.4,54.6,53.51,8,55.17,2025-05-02
STU_e9455ca2,SUB_PHY_117,TCH_29eb2101,73.67,83.41,54.35,10,70.48,2025-11-23
STU_92371b17,SUB_ART_886,TCH_be7faa8a,72.63,51.18,88.0,10,70.6,2025-04-09
STU_92371b17,SUB_MAT_392,TCH_82b5b2da,59.07,56.56,83.45,9,66.36,2025-05-28
STU_92371b17,SUB_COM_142,TCH_fc41ed5e,72.86,85.39,96.61,9,84.95,2025-01-26
STU_92371b17,SUB_HIS_105,TCH_b9608476,84.74,88.41,66.89,6,80.01,2025-07-26
STU_92371b17,SUB_PHY_117,TCH_7602e517,69.57,61.79,91.28,8,74.21,2025-10-20
STU_1c5bc149,SUB_HIS_105,TCH_2b2625e5,85.36,66.97,68.74,9,73.69,2025-11-15
STU_1c5bc149,SUB_MAT_392,TCH_59cac908,55.99,59.14,64.62,7,59.92,2025-09-13
STU_1c5bc149,SUB_PHY_117,TCH_7602e517,57.89,66.1,50.64,7,58.21,2025-08-09
STU_1478bd42,SUB_CHE_148,TCH_59cac908,87.67,80.72,86.39,8,84.93,2025-07-08
STU_1478bd42,SUB_HIS_105,TCH_b9608476,86.25,95.03,90.7,8,90.66,2025-10-14
STU_1478bd42,SUB_ENG_307,TCH_7602e517,84.61,84.72,72.95,7,80.76,2025-09-27
STU_1478bd42,SUB_ART_886,TCH_7602e517,62.08,90.23,55.84,8,69.38,2025-01-31
STU_1478bd42,SUB_COM_142,TCH_b9608476,96.64,75.03,96.89,9,89.52,2025-07-14
STU_4ab791f5,SUB_HIS_105,TCH_b0dd4864,97.91,86.42,62.47,7,82.27,2025-09-10
STU_4ab791f5,SUB_ENG_307,TCH_29eb2101,86.29,57.93,56.48,7,66.9,2025-05-16
STU_4ab791f5,SUB_CHE_148,TCH_29eb2101,55.43,87.84,52.4,8,65.22,2025-10-10
STU_01eec3b1,SUB_PHY_117,TCH_b0dd4864,88.33,62.66,84.16,8,78.38,2025-10-30
STU_01eec3b1,SUB_HIS_105,TCH_82b5b2da,61.19,74.4,76.39,9,70.66,2025-09-07
STU_01eec3b1,SUB_BIO_910,TCH_b0dd4864,89.98,54.71,80.28,9,74.99,2025-10-10
STU_ba352e9a,SUB_HIS_105,TCH_be7faa8a,83.93,56.82,93.21,8,77.99,2025-01-04
STU_ba352e9a,SUB_BIO_910,TCH_b9608476,58.99,78.97,93.55,8,77.17,2025-07-05
STU_ba352e9a,SUB_PHY_117,TCH_be7faa8a,71.51,67.2,89.51,8,76.07,2025-11-15
STU_b956cb9a,SUB_HIS_105,TCH_b9608476,93.62,85.72,66.38,9,81.91,2025-05-12
STU_b956cb9a,SUB_ART_886,TCH_be7faa8a,92.72,96.38,57.3,10,82.13,2025-01-04
